artist,duration,genre,label,tags,title,album,date,likes,stream
"Skrillex, Fred again.. & Flowdan",146599,Electronic,,,Rumble,,2023-01-04T18:17:05Z,88236,3495328
"Skrillex, Missy Elliott & Mr. Oizo",126824,Dance & EDM,,,RATATA,,2023-02-17T04:39:25Z,34599,1403521
Skrillex & Damian 'Jr Gong' Marley,213806,Dubstep,,,Make It Bun Dem,,2012-05-08T15:25:16Z,510725,35445100
Skrillex,215216,,,,Bangarang feat Sirah,,2012-05-08T16:49:46Z,540033,41534304
The Game & Skrillex,220153,The Game,,,“El Chapo”,,2015-10-09T17:07:56Z,802906,57317282
"Skrillex, Starrah & Four Tet",195971,Electronic,,Dance Electronic Skrillex,Butterflies,,2021-05-10T13:08:44Z,28140,1287566
Skrillex,281367,dubstep,,"skrillex avicii ""avicii remix"" ""skrillex remix"" ""levels Remix""",Avicii 'Levels' Skrillex Remix,,2011-12-21T05:31:29Z,431476,26017290
Benny Bennassi,308100,Electronic,,"skrillex ""benny benassi"" cinema",Cinema (Skrillex Remix),,2011-10-03T19:00:13Z,205111,11008840
Skrillex,243552,Dubstep Electronic,Big Beat,,SCARY MONSTERS AND NICE SPRITES,,2011-08-24T15:10:30Z,182122,10353435
GTA,223523,skrillex,OWSLA/Atlantic,"""red lips"" gta ""sam bruno"" ""skrillex remix""",Red Lips (feat. Sam Bruno) [Skrillex Remix],,2015-11-30T12:01:30Z,409400,22473915
Skrillex,236565,Electronic,,,Reptile's Theme,,2023-03-16T17:18:00Z,8450,225593
Skrillex,200873,Skrillex,,,Kyoto feat Sirah,,2012-05-08T16:49:46Z,205673,15937096
Skrillex & The Doors,302081,Skrillex,,,Breakn a Sweat,,2012-05-08T16:49:46Z,104246,8315793
Skrillex,182011,Skrillex,,,Right In,,2012-05-08T16:49:46Z,75080,6177333
Skrillex & Wolfgang Gartner,292860,Skrillex,,,The Devils Den,,2012-05-08T16:49:46Z,68957,5115952
"Skrillex, 12th Planet & Kill The Noise",245129,Skrillex,,,Right On Time,,2012-05-08T16:49:46Z,36485,2880709
Skrillex,261613,Dubstep,,,First Of The Year (Equinox),,2011-08-24T15:20:41Z,325676,21020121
Skrillex,226371,Dubstep,,,Ruffneck (FULL Flex),,2011-08-24T15:20:41Z,53815,3267109
Skrillex,284211,Dubstep Electronic,Big Beat,,ROCK N' ROLL (WILL TAKE YOU TO THE MOUNTAIN),,2011-08-24T15:10:30Z,113881,7674861
Skrillex,298085,Dubstep Electronic,Big Beat,,KILL EVERYBODY,,2011-08-24T15:10:30Z,85890,5244275
Skrillex,234967,Dubstep Electronic,Big Beat,,SCATTA (FEAT FOREIGN BEGGARS AND BARE NOIZE),,2011-08-24T15:10:30Z,25289,1644484
Skrillex,249205,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS RAGGA TWINS ALL IS FAIR IN LOVE AND BROSTEP SKRILLEX DANCE ELECTRONIC,All Is Fair In Love And Brostep with Ragga Twins,,2014-03-17T18:00:55Z,97668,6852558
Skrillex,237761,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS SKRILLEX KILL THE NOISE FATMAN SCOOP MICHAEL ANGELAKOS PASSION PIT DANCE ELECTRONIC,"Recess with Kill The Noise, Fatman Scoop, and Michael Angelakos",,2014-03-17T18:00:52Z,112600,7539438
Skrillex,290063,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS SKRILLEX KILLAGRAMA MILO AND OTIS SAM DEW STRANGER DANCE ELECTRONIC,Stranger with Killagraham from Milo & Otis and Sam Dew,,2014-03-17T18:00:49Z,42350,3196922
Skrillex,229298,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS TRY IT OUT NEON MIX ALVIN RISK SKRILLEX DANCE ELECTRONIC,Try It Out (Neon Mix) with Alvin Risk,,2014-03-17T18:00:43Z,80039,5616720
Skrillex,243640,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS COAST IS CLEAR CHANCE THE RAPPER SOCIAL EXPERIMENT SKRILLEX DANCE ELECTRONIC,Coast Is Clear with Chance the Rapper and The Social Experiment,,2014-03-17T18:00:41Z,67867,5489007
Skrillex,206751,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS SKRILLEX DIRTY VIBE DIPLO G-DRAGON CL 2NE1 BIG BANG DANCE ELECTRONIC,"Dirty Vibe with Diplo, G-Dragon, and CL",,2014-03-17T18:00:38Z,114939,7282197
Skrillex,258922,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS SKRILLEX RAGGA BOMB TWINS DANCE ELECTRONIC,Ragga Bomb with Ragga Twins,,2014-03-17T18:00:37Z,72961,4749585
Skrillex,230108,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS SKRILLEX FUCK THAT DANCE ELECTRONIC,Fuck That,,2014-03-17T18:00:29Z,56638,3324130
Skrillex,302603,SKRILLEX,OWSLA/Big Beat/Atlantic,RECESS SKRILLEX EASE MY MIND NIKI AND THE DOVE DANCE ELECTRONIC,Ease My Mind with Niki and the Dove,,2014-03-17T18:00:28Z,66347,4032652
Skrillex & Boys Noize,193724,Electronic,,,Fine Day Anthem,,2023-07-07T14:32:59Z,37404,1191662
Skrillex with Bobby Raps,188186,Electronic,,,Leave Me Like This,,2023-01-18T17:06:05Z,33244,1327401
"Skrillex, Joker & Sleepnet",185600,Dance & EDM,,"""skrillex #joker #sleepnet""",Tears,,2023-02-17T04:36:40Z,20431,799999
"Skrillex, Aluna & Kito",205270,Dance & EDM,,,Inhale Exhale,,2023-02-17T04:33:00Z,16935,633645
Skrillex & Eli Keszler,215223,Dance & EDM,,,A Street I Know,,2023-02-17T04:32:37Z,8003,374875
"Skrillex, Swae Lee, Siiickbrain & Posij",208718,Dance & EDM,,,TOO BIZARRE (juked),,2023-02-17T04:31:44Z,10628,442565
"Skrillex, Flowdan, BEAM & PEEKABOO",216033,Dance & EDM,,,Hydrate,,2023-02-17T04:30:46Z,20099,708539
"Skrillex, Noisia, Josh Pan & Dylan Brady",165407,Dance & EDM,,"""skrillex #noisia #joshpan #dylanbra""",Supersonic (my Existence),,2023-02-17T04:29:27Z,12541,482743
"Skrillex, Porter Robinson & Bibi Bourelly",303256,Dance & EDM,,,Still Here (with The Ones That I Came With),,2023-02-17T04:28:11Z,10518,380330
Skrillex & BEAM,190563,Electronic,,,Selecta,,2023-02-17T19:36:18Z,10556,437331
